,main_category,Pricing,product_name,seller_name,quantity,Discount_applicable
1256744,Women's Apparel,49.79638151,Girls ' Windproof Long Sleeve Over Knee Long Coat,rengyiti,28552.28781,Yes
1481756,Beauty & Personal Care,6.217861512,Sari Bengkoang Cold Powder,ambarw,109796.8235,No
28373,Beauty & Personal Care,8.976244072,🌼SERUM AHA BEAUTY WISE ORIGINAL HQ 💯🌼,azrie,82128.2143,No
921409,Sports & Outdoors,14.99686091,"Folding Bucket Outdoor Fishing Bucket, Black 20L",paudn,43334.6296,Yes
237074,Women's Apparel,13.81450115,Yaya Negligee By Dlusia Ori,dasterarab,38499.11771,Yes
1740692,Women's Apparel,18.52149487,Gamis Syar Hayu Aposhayu I Misbee,izz_m,38019.50053,No
206206,Beauty & Personal Care,142.2344138,La Nuit Tresor EDT 100ml (TESTER),beauty,19186.59628,No
1641976,Men's Wear,17.2041687,Planel Men's Long Sleeve Shirt,fiftyo,70132.76078,Yes
140057,Women's Apparel,16.66027544,Naemar Top,weningpri,33491.37872,No
1047265,Jewellery & Accessories,6.747105788,Malaysia Readystock Jarum Jahit Tangan,ijah2,88834.80386,Yes
198546,Women's Apparel,13.77267748,Jacket Plus Velvet Padded Jacket,taobaog,69735.59687,Yes
727625,Beauty & Personal Care,12.22418424,Makeup brushes Beauty Cosmetics Brush tool Kit Set,beauty,57463.88271,Yes
1026625,Hobbies & Books,14.19034059,Top Trumps - Ultimate Military Jets,bloomingt,99799.72269,Yes
543288,"Toys, Kids & Babies",290.7326487,Lego 10273 Haunted House,toyz,63289.72463,No
47935,Women's Apparel,25.2741455,Plus Size Gingham Babydoll Blouse,rainbo,98886.59838,No
1531199,Women's Apparel,16.50688984,Korean Style Retro Chic Wild Breathable Skirt,wunan1,52530.59256,Yes
1926395,Women's Apparel,12.50054594,Women's Loose Waist Long Dress,xxnk,10709.74372,No
1905536,Home & Living,25.44678005,1121 Thicken Double Raschel Blanket 1121,eleanor,69089.46187,Yes
1906890,Women's Apparel,6.600134159,Zoya Tag Hijab 69k Motif 3,luvvian,52523.8182,No
819000,Home & Living,4.770898158,CRH Cable Management Reusable Charging Line 5Mx1cm,crh,94112.09376,Yes
1738528,Automotive,113.9790621,YAMAHA 30HP STATOR SET,angler,90389.96821,No
219791,Women's Apparel,17.24758976,Teenaho Pajamas,ervied,34321.52588,No
1531298,Kids Fashion,15.26908242,Syari Gwenita Kid,hijabmur,78353.37533,Yes
1622585,Men's Wear,9.262997992,Couple Family Manggar,sofiana,48081.78349,Yes
583589,Food & Beverages,13.97817758,Java Duck Ungkep (1 Duck Tail),murni,31114.47963,No
643015,Jewellery & Accessories,12.84630501,Entrasol Gold 360gr,grilchil,60725.21869,Yes
633919,Women's Apparel,20.85073574,Plus Velvet Thick Half Turtleneck Bottoming Shirt,xamd,34348.36505,Yes
1486748,Men's Wear,12.78659135,Batik Shirt Men Long Sleeve Sd Batik 15,zheclo,43842.41032,Yes
549601,Women's Apparel,16.39849026,Knit Dress 6035,mei02,71712.17234,Yes
951376,Home & Living,30.45504842,Cloth Chinese Style Tea Table Cloth,jftr,54607.2506,No
150224,Women's Apparel,12.61158125,Long Skirt Army Green S117,harizah,69151.62742,No
1502916,Women's Apparel,1998.898157,ouyangtest2017:11:16:13:05:03,banan,101632.6797,No
503557,Food & Beverages,22.24617035,[24packs] M&M Milk Chocolate,alsf,82733.18621,Yes
506144,Video Games,61.49729734,Xboxone Fifa 19 (Standard),des,37684.56871,No
677385,Women's Bags,13.7952115,Tsum Tsum Foldable Recycling Tote Bag,thecy,83389.97062,Yes
138804,Women's Apparel,13.01125015,2020 Women's Korean Loose Layered-look Jacket,shanhew,76254.18076,No
1046854,Men's Wear,20.57669316,Business Handsome Inch Men's Hot Autumn Shirt,quanzhouju,87032.92762,No
336955,Men's Wear,6.556992839,T-shirt Distro Memphis And Deus Wash Warehouse,riksawi,68495.45348,Yes
785545,Home & Living,22.65700124,Sofa Cover/cushion/cushion Nordic Sofa Cushion,wusume,34553.44271,Yes
499800,Women's Apparel,62.19831412,Women's Korea Hooded Loose Long Coat,xiaojia,49049.54192,No
689718,Beauty & Personal Care,5.841732615,Bursh Guard( Free with every brush purchased),ksac,87889.68038,Yes
924180,Mobile & Gadgets,9.642239754,OPPO A93 A53 2020 CARBON FIBER TEXTURE CASE,empirem,49679.70115,Yes
1106500,Mobile & Gadgets,592.5774646,Brand New Samsung Galaxy NOTE 9 128GB,ahma,86539.08574,Yes
5431,Women's Apparel,13.75116347,Bawal Cotton Bidang 48.   (Bawal Cotton Zara),naasrin,24655.6348,No
1896231,Home & Living,8.43375851,7cm PVC花盆 / 7cm/ 7cm,peiling,73286.42169,Yes
397750,Women's Bags,35.91104311,Cnk Sculptural Handle Tote Bag,littlebeau,50563.61225,Yes
804092,Home & Living,10.70351668,Premium Red Flower,mistyd,72309.6167,No
1998845,Home & Living,19.31817605,PELUANG FAJAR,chiekar,41033.19423,No
1997948,Food & Beverages,8.679742266,Back Home Sensitive Beans Crisp Bar (100g),genkiya_,85485.47396,Yes
131171,Beauty & Personal Care,2.50429653,"BUY 1 TAKE FREE 1, Makeup Brush Cleaner Eggs",adpart,40693.19558,Yes
129249,Beauty & Personal Care,18.19343545,Beyond Beyond Deep Moisture Body Scrub 200ml,was,30418.62835,No
1537173,Women's Apparel,4.170410158,Organza Rectangle,arofah_b,18950.91618,Yes
777129,Home & Living,22.69557726,Tabletop 4-piece Condiment Set,lamart,60676.5299,Yes
1865369,Women's Apparel,34.33447506,Loose Mickey Long Over Knee Slit Casual Dress,heg186,11514.97295,Yes
1083759,Watches,17.13653737,Perle Faux mari,sexyl,70664.90426,No
1289469,Women's Apparel,17.59753425,Women's Ice Silk V-neck Short Vest,xiongxi,30833.28401,No
680488,Mobile & Gadgets,10.41057597,SAMSUNG S9 PLUS HARDCASE DELKIN SLIM ECO,bazha,91232.74528,No
1800132,Women's Apparel,17.28979328,BAWAL ANTI KEDUT-FAreha,sheki,10190.78827,No
1766497,Jewellery & Accessories,14.13778091,Slayer Wedding - Hrp 002,aksesorisp,30195.06422,No
1970781,Women's Apparel,13.64819101,Hey Mi Shirt,gracias.,57982.3234,Yes
1049632,Women's Apparel,49.88431383,Women's Short Sleeve Black/white T-shirt,dfy28226,42881.71761,Yes
947029,Men's Shoes,13.93157601,Men's Hole Shoes Men's Sandals Beach Shoes,shdy,89175.32393,Yes
140821,"Toys, Kids & Babies",34.66927011,Barbie Dolls Made To Move Martial Artist Doll,micmaxs,64799.95889,Yes
223532,Women's Apparel,21.96786132,Get Free Cute Mask ~ Long Outer Paris Long Sleeve,misskend,31119.92082,No
897008,Women's Apparel,12.91383015,Aisha Dress,nadisfa_co,80635.54462,No
204368,Mobile & Gadgets,5.796402553,NO.1 G6 Smart Watch Replacement Silicon Strap,aroh,103701.0388,Yes
1525282,Women's Bags,399.7748319,Black Leather Puppy Logo Cross Bag,pts160,39301.93229,Yes
723973,Kids Fashion,14.72287557,Little Pep - Ice Pony,little,36854.38798,No
1883838,Home & Living,9.521868321,(5 PCS) B5 Notebook,cheap,56995.68602,No
1111722,Women's Apparel,23.51314552,Women's Western Style Breathable Dress 2pcs Suit,tradew,63543.37158,No
1301974,Women's Apparel,12.01676226,Pm - Miril (april Set) Pg,pinkyolsho,73913.99261,Yes
472154,Women's Apparel,14.48623677,Plus Size Women's Short Hooded Long Sleeve Jacket,htt5,66646.08003,Yes
840760,"Toys, Kids & Babies",102.2209844,(Edwinpjj) Lego 42038 Arctic Truck Brand New,zhng_a,16183.26839,Yes
290026,Women's Apparel,17.93440385,Women's Autumn Winter Faux Cashmere Hooded Sweater,htt5,47641.19298,Yes
178050,Jewellery & Accessories,12.51121914,Wash Face Hair Towel Elastic Velvet Headband,jacke,13194.42616,No
337870,Women's Apparel,13.77784121,Fara Pants Heaven Light,tarisi,37127.2196,No
22763,Beauty & Personal Care,8.160763577,[MISSHA]MODERN SHADOW ITALPRISM_12 PEACH SMOOTHIE,mkma,71900.7561,No
1759027,Jewellery & Accessories,9.215070402,Abn Child Cufflinks,medikapr,44075.20019,Yes
1252178,Home & Living,20.15490741,The House on Mango Street English Version Fiction,janet.,39389.44891,No
605230,Hobbies & Books,16.36802632,Anime One Piece Luffy Car Decoration 7 Xzn,ben5,19494.03526,No
1430714,Kids Fashion,48.59832196,Mini Melissa Mel Kids Infantil Space Love Ii,lovely_,22469.61447,No
1486510,Sports & Outdoors,14.06532573,Complete Package Soccer Shoes,kios_ar,101458.5354,Yes
1226353,Women's Apparel,11.00214409,Women's Knit Blouse 2 Strippy Rainbow Colors,loekitag,91522.53039,No
1675134,Women's Apparel,12.81174015,Women's Short Sleeve V-neck Knit Dress,ruoxik,72578.87291,Yes
977515,Hobbies & Books,13.07922268,X1 Quantum Leap (read Description),charis,83895.3423,Yes
1122518,Women's Apparel,34.27783917,Knitted Polo Shirt Sweater,lizan,90009.12027,Yes
936182,Women's Apparel,25.58997523,Inara Dress By Fania Hijab,gamissyaribusui,63749.58783,No
1955106,"Toys, Kids & Babies",11.87906581,Kids Wooden Numbers Early Learning Counting Toy,shinyhe,69740.63169,No
1681578,Food & Beverages,5.488459867,Gits Ras Malai Mix[150GR],shivsaga,83162.1441,Yes
1904453,Women's Apparel,62.80940665,Women's Plush Long Sleeve Sleeping Skirt,xxxyn,62018.4352,Yes
898684,Mobile & Gadgets,11.15083018,Sport ArmBand Case for SAMSUNG GALAXY NOTE 2 N7100,beautyba,31052.72319,No
1748684,Men's Wear,23.66855336,Men's Stripe Stitching Long-sleeved Shirt,jack_o,75750.60673,Yes
996963,Beauty & Personal Care,11.81760947,ANTABAX Antibacterial Sanitizer Spray & Gel,loke,107406.7063,Yes
1344566,Women's Bags,15.10360746,Ready Elegant Women's Bag Import Akbg008,yulir,48519.88191,No
244224,Women's Apparel,16.37956836,Homedress Homeyza,hijabm,83111.25539,Yes
618685,Women's Apparel,11.51212962,Bonita Dusty Pink Brush Printed Longsleeve,esthern,97666.94346,No
1074712,Hobbies & Books,9.492392227,Drawing Children Painting Book With Painting Book,06jish,79612.67905,No
